Util,CLK,tag,MIVs
0.5,0.2,placement_icc2_hop_included_timing_included_partitionmiddle,3891
0.5,0.2,placement_icc2_hop_included_timing_none_partitionminmiv,2470
0.5,0.2,placement_icc2_hop_included_timing_included_partitionminmiv,2741
0.5,0.2,placement_icc2_hop_included_timing_none_partitionmiddle,2552
0.5,0.3,placement_icc2_hop_included_timing_included_partitionminmiv,3671
0.5,0.3,placement_icc2_hop_included_timing_none_partitionmiddle,4362
0.5,0.3,placement_icc2_hop_included_timing_none_partitionminmiv,3298
0.5,0.3,placement_icc2_hop_included_timing_included_partitionmiddle,4186
0.5,0.4,placement_icc2_hop_included_timing_included_partitionminmiv,3164
0.5,0.4,placement_icc2_hop_included_timing_none_partitionminmiv,3557
0.5,0.4,placement_icc2_hop_included_timing_included_partitionmiddle,4203
0.5,0.4,placement_icc2_hop_included_timing_none_partitionmiddle,4147
0.5,0.5,placement_icc2_hop_included_timing_none_partitionmiddle,4108
0.5,0.5,placement_icc2_hop_included_timing_none_partitionminmiv,2572
0.5,0.5,placement_icc2_hop_included_timing_included_partitionminmiv,3207
0.5,0.5,placement_icc2_hop_included_timing_included_partitionmiddle,3207
0.5,0.6,placement_icc2_hop_included_timing_included_partitionminmiv,3094
0.5,0.6,placement_icc2_hop_included_timing_included_partitionmiddle,3153
0.5,0.6,placement_icc2_hop_included_timing_none_partitionminmiv,3001
0.5,0.6,placement_icc2_hop_included_timing_none_partitionmiddle,3197
0.5,0.7,placement_icc2_hop_included_timing_none_partitionminmiv,2540
0.5,0.7,placement_icc2_hop_included_timing_included_partitionminmiv,2654
0.5,0.7,placement_icc2_hop_included_timing_none_partitionmiddle,3469
0.5,0.7,placement_icc2_hop_included_timing_included_partitionmiddle,5001
0.5,0.8,placement_icc2_hop_included_timing_none_partitionmiddle,3726
0.5,0.8,placement_icc2_hop_included_timing_none_partitionminmiv,2821
0.5,0.8,placement_icc2_hop_included_timing_included_partitionminmiv,2902
0.5,0.8,placement_icc2_hop_included_timing_included_partitionmiddle,1911
0.5,0.9,placement_icc2_hop_included_timing_included_partitionmiddle,3668
0.5,0.9,placement_icc2_hop_included_timing_none_partitionminmiv,2448
0.5,0.9,placement_icc2_hop_included_timing_none_partitionmiddle,3361
0.5,0.9,placement_icc2_hop_included_timing_included_partitionminmiv,2487
0.5,1.0,placement_icc2_hop_included_timing_none_partitionmiddle,1790
0.5,1.0,placement_icc2_hop_included_timing_included_partitionmiddle,3430
0.5,1.0,placement_icc2_hop_included_timing_included_partitionminmiv,2311
0.5,1.0,placement_icc2_hop_included_timing_none_partitionminmiv,1790
0.5,1.1,placement_icc2_hop_included_timing_none_partitionminmiv,2902
0.5,1.1,placement_icc2_hop_included_timing_included_partitionminmiv,1999
0.5,1.1,placement_icc2_hop_included_timing_none_partitionmiddle,2902
0.5,1.1,placement_icc2_hop_included_timing_included_partitionmiddle,3368
0.6,0.2,placement_icc2_hop_included_timing_included_partitionmiddle,3679
0.6,0.2,placement_icc2_hop_included_timing_none_partitionmiddle,3547
0.6,0.2,placement_icc2_hop_included_timing_included_partitionminmiv,2806
0.6,0.2,placement_icc2_hop_included_timing_none_partitionminmiv,3174
0.6,0.3,placement_icc2_hop_included_timing_included_partitionmiddle,3726
0.6,0.3,placement_icc2_hop_included_timing_none_partitionminmiv,2958
0.6,0.3,placement_icc2_hop_included_timing_included_partitionminmiv,3201
0.6,0.3,placement_icc2_hop_included_timing_none_partitionmiddle,2730
0.6,0.4,placement_icc2_hop_included_timing_none_partitionmiddle,3947
0.6,0.4,placement_icc2_hop_included_timing_none_partitionminmiv,2743
0.6,0.4,placement_icc2_hop_included_timing_included_partitionminmiv,2740
0.6,0.4,placement_icc2_hop_included_timing_included_partitionmiddle,3867
0.6,0.5,placement_icc2_hop_included_timing_included_partitionmiddle,3036
0.6,0.5,placement_icc2_hop_included_timing_included_partitionminmiv,3036
