cell_name,cell_count
OR2X2_RVT,1
DFFSSRX1_RVT,1
OAI22X1_HVT,1
AO221X1_HVT,1
OR3X1_HVT,1
OAI22X1_RVT,1
NOR3X2_RVT,1
OA22X2_RVT,1
OA221X1_RVT,1
AO222X1_HVT,1
AO221X1_LVT,1
NAND2X1_RVT,1
OA221X1_HVT,1
XOR3X1_HVT,1
AND2X4_RVT,1
NOR4X0_RVT,1
OA22X1_RVT,1
XNOR2X2_HVT,1
AOI21X1_RVT,1
OR2X1_LVT,1
INVX8_RVT,1
IBUFFX4_HVT,1
INVX4_RVT,1
INVX4_LVT,1
NBUFFX8_LVT,1
TIEH_HVT,1
XOR2X2_HVT,1
AND3X2_RVT,1
NAND2X2_HVT,2
XOR2X2_LVT,2
NAND3X1_RVT,2
AO21X1_RVT,2
OR3X1_RVT,2
OA21X1_HVT,2
DFFSSRX1_LVT,2
OAI21X1_RVT,2
OR4X2_RVT,2
NBUFFX8_RVT,2
NBUFFX16_HVT,2
OA222X1_RVT,2
OAI222X2_RVT,2
NBUFFX4_RVT,3
NBUFFX2_LVT,3
AO221X1_RVT,3
AO222X1_RVT,3
NOR2X0_RVT,3
NOR2X0_HVT,3
OAI222X1_RVT,3
OAI221X1_HVT,3
NOR3X0_RVT,3
XNOR3X2_RVT,3
OA21X1_RVT,4
AO22X1_HVT,4
OR4X1_HVT,4
DFFX2_HVT,4
NAND3X0_LVT,4
MUX21X1_LVT,4
INVX2_HVT,5
NAND2X0_LVT,5
NOR4X1_RVT,5
INVX1_LVT,5
OAI221X1_LVT,5
AO222X1_LVT,5
OAI222X1_LVT,6
INVX2_RVT,7
AND4X1_HVT,7
AND4X1_RVT,7
NAND2X2_RVT,7
NOR2X1_HVT,7
NAND2X4_RVT,8
AO21X1_HVT,8
OA22X1_HVT,9
XOR3X1_LVT,9
NAND4X1_RVT,10
AND4X1_LVT,10
NBUFFX8_HVT,10
DFFX1_LVT,11
XNOR2X1_LVT,12
NAND3X2_RVT,12
NBUFFX2_RVT,13
XOR3X2_HVT,15
OR2X1_HVT,16
AND3X1_HVT,16
NAND4X0_LVT,17
INVX0_LVT,18
XOR3X2_RVT,18
OR2X1_RVT,19
XNOR2X2_RVT,20
NAND4X0_RVT,21
AND3X1_RVT,21
XOR2X2_RVT,30
NBUFFX4_HVT,32
INVX1_RVT,33
NAND4X0_HVT,33
OAI221X1_RVT,33
DFFX2_RVT,36
XNOR2X1_HVT,43
INVX0_RVT,53
NAND3X0_HVT,60
XNOR2X1_RVT,66
XNOR3X1_RVT,72
XOR2X1_LVT,92
XOR2X1_HVT,94
NBUFFX2_HVT,110
XOR3X1_RVT,131
NAND2X0_HVT,171
AND2X1_RVT,199
DFFX1_HVT,203
XOR2X1_RVT,212
NAND3X0_RVT,226
MUX21X1_RVT,256
DFFX1_RVT,273
INVX0_HVT,283
NAND2X0_RVT,311
AND2X1_HVT,508
ANTENNA_RVT,1641
